Timer started ...
MOD: delay(90 90), type(tORP+tBUF+tIOO(LVCMOS18)), from(CE.OUT), to(CE.PAD)
MOD: delay(64 64), type(tPDi), from(CE ), to(CE.OUT)
MOD: delay(90 90), type(tORP+tBUF+tIOO(LVCMOS18)), from(OE.OUT), to(OE.PAD)
MOD: delay(64 64), type(tPDi), from(OE ), to(OE.OUT)
MOD: delay(90 90), type(tORP+tBUF+tIOO(LVCMOS18)), from(WE.OUT), to(WE.PAD)
MOD: delay(64 64), type(tPDi), from(WE ), to(WE.OUT)
MOD: delay(90 90), type(tORP+tBUF+tIOO(LVCMOS18)), from(LA8.OUT), to(LA8.PAD)
MOD: delay(52 52), type(tCOi), from(LA8.C ), to(LA8.OUT)
CHK: delay(0 0), type(tWLS), from(LA8.C ), to(LA8.C )
CHK: delay(0 0), type(tWHS), from(LA8.C ), to(LA8.C )
CHK: delay(88 88), type(tH), from(LA8.D ), to(LA8.C )
CHK: delay(92 92), type(tS), from(LA8.D ), to(LA8.C )
MOD: delay(90 90), type(tORP+tBUF+tIOO(LVCMOS18)), from(LA9.OUT), to(LA9.PAD)
MOD: delay(52 52), type(tCOi), from(LA9.C ), to(LA9.OUT)
CHK: delay(0 0), type(tWLS), from(LA9.C ), to(LA9.C )
CHK: delay(0 0), type(tWHS), from(LA9.C ), to(LA9.C )
CHK: delay(88 88), type(tH), from(LA9.D ), to(LA9.C )
CHK: delay(92 92), type(tS), from(LA9.D ), to(LA9.C )
MOD: delay(90 90), type(tORP+tBUF+tIOO(LVCMOS18)), from(LA10.OUT), to(LA10.PAD)
MOD: delay(52 52), type(tCOi), from(LA10.C ), to(LA10.OUT)
CHK: delay(0 0), type(tWLS), from(LA10.C ), to(LA10.C )
CHK: delay(0 0), type(tWHS), from(LA10.C ), to(LA10.C )
CHK: delay(88 88), type(tH), from(LA10.D ), to(LA10.C )
CHK: delay(92 92), type(tS), from(LA10.D ), to(LA10.C )
MOD: delay(90 90), type(tORP+tBUF+tIOO(LVCMOS18)), from(LA11.OUT), to(LA11.PAD)
MOD: delay(52 52), type(tCOi), from(LA11.C ), to(LA11.OUT)
CHK: delay(0 0), type(tWLS), from(LA11.C ), to(LA11.C )
CHK: delay(0 0), type(tWHS), from(LA11.C ), to(LA11.C )
CHK: delay(88 88), type(tH), from(LA11.D ), to(LA11.C )
CHK: delay(92 92), type(tS), from(LA11.D ), to(LA11.C )
MOD: delay(90 90), type(tORP+tBUF+tIOO(LVCMOS18)), from(LA12.OUT), to(LA12.PAD)
MOD: delay(52 52), type(tCOi), from(LA12.C ), to(LA12.OUT)
CHK: delay(0 0), type(tWLS), from(LA12.C ), to(LA12.C )
CHK: delay(0 0), type(tWHS), from(LA12.C ), to(LA12.C )
CHK: delay(88 88), type(tH), from(LA12.D ), to(LA12.C )
CHK: delay(92 92), type(tS), from(LA12.D ), to(LA12.C )
MOD: delay(90 90), type(tORP+tBUF+tIOO(LVCMOS18)), from(LA13.OUT), to(LA13.PAD)
MOD: delay(52 52), type(tCOi), from(LA13.C ), to(LA13.OUT)
CHK: delay(0 0), type(tWLS), from(LA13.C ), to(LA13.C )
CHK: delay(0 0), type(tWHS), from(LA13.C ), to(LA13.C )
CHK: delay(88 88), type(tH), from(LA13.D ), to(LA13.C )
CHK: delay(92 92), type(tS), from(LA13.D ), to(LA13.C )
MOD: delay(90 90), type(tORP+tBUF+tIOO(LVCMOS18)), from(LA14.OUT), to(LA14.PAD)
MOD: delay(52 52), type(tCOi), from(LA14.C ), to(LA14.OUT)
CHK: delay(0 0), type(tWLS), from(LA14.C ), to(LA14.C )
CHK: delay(0 0), type(tWHS), from(LA14.C ), to(LA14.C )
CHK: delay(88 88), type(tH), from(LA14.D ), to(LA14.C )
CHK: delay(92 92), type(tS), from(LA14.D ), to(LA14.C )
MOD: delay(90 90), type(tORP+tBUF+tIOO(LVCMOS18)), from(LA15.Q ), to(LA15.PAD)
MOD: delay(52 52), type(tCOi), from(LA15.C ), to(LA15.Q )
CHK: delay(0 0), type(tWLS), from(LA15.C ), to(LA15.C )
CHK: delay(0 0), type(tWHS), from(LA15.C ), to(LA15.C )
CHK: delay(88 88), type(tH), from(LA15.D ), to(LA15.C )
CHK: delay(92 92), type(tS), from(LA15.D ), to(LA15.C )
NET: delay(166 166), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(PA0.PAD), to(LA8.D )
NET: delay(166 166), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(PA1.PAD), to(LA9.D )
NET: delay(166 166), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(PA2.PAD), to(LA10.D )
NET: delay(166 166), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(PA3.PAD), to(LA11.D )
NET: delay(166 166), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(PA4.PAD), to(LA12.D )
NET: delay(166 166), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(PA5.PAD), to(LA13.D )
NET: delay(166 166), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(PA6.PAD), to(LA14.D )
NET: delay(166 166), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(PA7.PAD), to(LA15.D )
NET: delay(78 78), type(tGCLK_IN+tIOI(LVCMOS18)), from(ECLK.PAD), to(LA15.C )
NET: delay(78 78), type(tGCLK_IN+tIOI(LVCMOS18)), from(ECLK.PAD), to(LA14.C )
NET: delay(78 78), type(tGCLK_IN+tIOI(LVCMOS18)), from(ECLK.PAD), to(LA13.C )
NET: delay(78 78), type(tGCLK_IN+tIOI(LVCMOS18)), from(ECLK.PAD), to(LA12.C )
NET: delay(78 78), type(tGCLK_IN+tIOI(LVCMOS18)), from(ECLK.PAD), to(LA11.C )
NET: delay(78 78), type(tGCLK_IN+tIOI(LVCMOS18)), from(ECLK.PAD), to(LA10.C )
NET: delay(78 78), type(tGCLK_IN+tIOI(LVCMOS18)), from(ECLK.PAD), to(LA9.C )
NET: delay(78 78), type(tGCLK_IN+tIOI(LVCMOS18)), from(ECLK.PAD), to(LA8.C )
NET: delay(166 166), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(ECLK.PAD), to(WE )
NET: delay(166 166), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(ECLK.PAD), to(OE )
